ra,dec,mag
17.1924720750224,86.2570438338331,3.8803709
115.12380824413,87.0199584907372,4.274878
263.054907514461,86.5866998413371,4.3210907
333.297768458371,86.108178658296,5.250244
53.0871715619481,84.9104335207096,5.39002
259.228697551129,89.0376885228703,5.416544
342.763532831437,85.3742334217326,5.432493
342.892457093483,85.0463911446632,5.5057845
351.760971124099,87.3075826786888,5.5121346
273.86889651669,86.6578807695585,5.5744476
90.3352481744998,85.1821089384573,5.5932407
262.702935448428,86.9680905441255,5.7378635
62.5176710401458,86.6257518352826,5.7400913
19.0594062278246,87.1454012654151,5.903064
183.831457353434,87.7003513951813,6.1886435
184.229017992261,86.4357738976011,6.216938
333.298405324011,86.2214033180974,6.243737
102.947113104432,86.683871392123,6.2729588
220.075364502577,87.2148643433648,6.37591
68.8521351378422,85.5271700448239,6.4360642
82.9515879058805,85.938188926975,6.4398527
23.4780751893322,89.0154915645025,6.4589815
351.084774692529,86.4178725842981,6.5735426
85.9530076759892,85.6684077069714,6.6871676
15.9188656801212,84.6068102867859,6.6951146
34.748052698406,85.7365449430153,6.7351427
359.880846592822,86.7063975468797,6.7396345
342.057949508686,84.7759827417276,6.8116097
68.6520041559702,84.4722951860164,6.9243565
335.702769747231,85.061777606818,6.9393554
218.322558171385,85.9383753756807,6.9695706
59.2114889398694,84.8193895196216,6.9887524
193.482625195705,87.6483672745192,6.989336
9.55975327710047,84.6749083959982,6.9950976
107.414676772444,85.5700288911851,7.0042977
352.890659375743,86.1780127467726,7.054895
298.452037014217,85.7588201704822,7.075357
351.928322158787,86.5590090334022,7.0813513
140.450805384582,88.5703827366341,7.1100044
188.711994738085,85.7322551564728,7.165984
125.871123226001,85.6920039290984,7.17167
207.312246730327,85.7478967647346,7.196279
125.846954656692,86.3786223892756,7.212364
91.669699367057,85.2846047818202,7.2142773
174.28798561373,85.617526206199,7.2275853
322.972475902838,86.7643649076175,7.2748337
308.455202277053,85.6555052764663,7.280437
168.624476586103,85.640162093834,7.287238
99.5373348523245,87.2965505039809,7.3386216
351.77044833191,86.008101066144,7.3578362
268.599294326626,86.55874040967,7.3675027
314.344390011089,87.032743314159,7.4037743
138.323775268007,85.5576162219099,7.4137206
330.810656517185,88.0731220999907,7.4432535
355.575444054678,85.4685137150334,7.4532733
152.382371534377,86.5762567839315,7.4732885
170.450220323372,87.6385122523256,7.4967303
265.708985764402,85.6700484127245,7.505791
28.4556716047435,88.5516173562389,7.5176992
356.907020725964,85.0784081347277,7.531227
44.9285269061814,85.1739223417466,7.561157
4.1246500660298,86.6722225848217,7.5919647
30.4596374677376,84.7407771614746,7.601391
8.93074877804256,86.3178634650778,7.6553884
295.199297701961,87.9222512685095,7.655763
287.335868912845,86.081070547867,7.659456
49.5917929603622,84.840757190296,7.670675
75.4265199455941,84.8725849592029,7.6851697
9.37870472679577,85.0927392414812,7.6923785
194.130153025397,85.8845419804303,7.7072997
24.4421206203108,84.4813198438107,7.7398205
182.815223507921,86.9320433619321,7.7411327
20.2997748566773,85.1321667366576,7.751631
117.467854629326,86.364664310592,7.7523284
79.5921192408585,85.1886897491125,7.7574
4.26302402148948,84.9550206336401,7.759507
46.0309140249819,87.0261602391743,7.7691216
9.89865444589897,84.7478787578591,7.7704372
21.0419237567159,84.4998599961538,7.7766967
0.617558711831187,87.0327519085188,7.779442
259.592353266102,87.9672426028161,7.8070683
13.8175456732757,85.70252155616,7.815457
41.6446420429624,85.7992046179797,7.8189025
83.4434083996501,85.7102419062667,7.8286705
9.92635058485744,89.4443291496999,7.8777466
9.18595571951005,86.7085949376938,7.929369
272.045216218153,88.8228146999073,7.9307623
50.1841753650882,84.9776299170961,7.937042
331.70955204619,85.4097186071249,7.944254
189.614940948969,88.3553485878283,7.9584885
251.314766998007,86.070026317084,7.9692993
1.0858369237497,84.4732406672767,7.9763026
149.986574040801,87.1055300003527,7.991421
157.826502802217,87.2708087033345,7.9939084
224.587130194142,87.0062563689073,7.9966135
55.2104319697608,89.1047501581289,7.999992
106.877000656961,84.8591433693265,8.009856
252.179974100914,88.1562879192923,8.010144
217.916596076561,88.8587945720702,8.017695
81.0582988459819,86.2896049473577,8.022592
30.8993720097546,86.9317408305541,8.039636
112.218933140289,87.3752277125897,8.067596
180.040291653389,86.9944079446286,8.077566
27.4752081426915,85.2155249537535,8.097752
178.400812057797,86.2314277576816,8.099063
38.6448961842384,88.4708135089803,8.102815
14.047111314311,85.4591314744991,8.109647
15.6419637029306,84.6491427776806,8.130221
111.355334556323,85.7384153621648,8.130379
245.65419521181,88.6062007407955,8.154939
17.0849686631206,85.7977883975357,8.15892
1.77791389880266,85.4048862211943,8.163059
4.04579950433052,86.7259746494876,8.176266
133.427263505313,85.188916140253,8.180786
29.3875525750764,85.1462284344905,8.188516
147.254905644126,86.8518234052394,8.205484
59.0984453533263,88.4945913659337,8.213767
239.400828292278,85.7957762345164,8.218926
159.29550736909,86.0579188158494,8.22058
338.07292551257,87.2844976729605,8.236707
22.2536120389769,86.9331347307114,8.239719
132.396756236198,85.7899711227345,8.241911
324.013261015001,87.7840411033191,8.255208
260.153851218138,87.3753743053339,8.258524
339.084766934972,86.6598349361317,8.262237
349.722821245705,86.0566915580106,8.26301
73.3749713076711,85.6751544190183,8.268061
2.23799604695796,86.7878560210059,8.26822
254.32128928056,86.8448428359279,8.270806
129.058431558181,85.2382190507348,8.27348
204.771454424919,86.4906821476007,8.282201
9.69913435881499,85.9687865638061,8.285925
154.627346019572,85.8288873391569,8.324702
62.0572660636076,85.1795341628155,8.329899
10.0138111010054,84.7519624491291,8.342805
228.353831792651,88.0307117207626,8.350102
97.0331778955087,86.4162842873228,8.35155
272.842570678917,88.9908436582291,8.358688
301.27463595622,86.2657029703366,8.361061
167.395105451542,85.5442570601995,8.363052
148.922519514998,86.4419308646364,8.386843
80.386880869833,86.8666104125022,8.387088
81.8614129706431,84.8622406587065,8.3969145
354.105997609763,85.1669900577662,8.397017
37.2722648773562,85.0637800858605,8.405958
199.09805247957,86.558788453319,8.406592
322.137421148456,87.0018499271335,8.409308
198.270306714365,86.3162580232118,8.411538
126.710569696922,85.1172543434233,8.436231
39.9533884432832,85.0589854244709,8.441093
312.002435062871,87.5375557906772,8.441313
49.3539482123934,88.6761743165905,8.442548
1.02282357692378,85.2493083521696,8.443758
91.5828722639513,84.8356446275488,8.444144
287.818120562352,86.0792200368766,8.454411
196.022174951686,87.1162345636609,8.45662
57.01476194463,88.780365323684,8.46069
4.58128250098779,87.3562788795977,8.466756
346.496684276299,85.7306031091504,8.47024
193.277955653832,86.6619260506627,8.480821
292.244329358543,86.6313715265577,8.4862
278.739403755892,87.2919893097771,8.486208
14.0970691395015,85.3020002521072,8.488513
198.034110904856,87.5393146876063,8.498967
312.678693966222,85.8680180104427,8.50266
78.5009342710827,88.2220827974389,8.506204
325.40293537281,86.636341922745,8.521826
101.49675851601,85.0259270973953,8.546498
70.7036152817794,89.6300257906771,8.5592785
242.112824275415,86.1999460845818,8.560915
106.503373702068,84.8914619460266,8.564889
12.7482522379498,84.6355856170512,8.566825
276.374292381607,87.8090950961201,8.567114
61.8836333082053,85.6214188895722,8.56829
16.4526064692016,87.3193405117608,8.578969
156.985547004397,85.5253779952836,8.595659
35.2548224964178,86.7619893563298,8.595673
322.855244265345,86.5469442443383,8.600558
8.76939099507709,84.9888493873096,8.601409
61.5708665421543,88.337605860588,8.609482
119.1968370564,85.2202582847607,8.620544
135.967950227233,86.8768065275483,8.624696
306.471943603729,86.4621755649287,8.627863
37.6648157523515,89.2608295088441,8.6298485
72.7906029678302,84.623951640998,8.640365
60.7990064136817,84.6648976219569,8.647866
72.0169935282374,85.4469041393192,8.648574
253.720472701966,87.7342369948145,8.6555605
162.303825662407,87.8589075446112,8.665439
1.54526592683578,87.889505559709,8.678418
12.3511588348224,86.9397486622259,8.681298
93.570768834924,84.9873465591548,8.683431
46.1463221113436,85.8564735997113,8.688697
182.691535735387,85.7050761858077,8.700658
42.2555168690193,88.6608039165762,8.713734
56.7921335185179,87.8965383780574,8.715914
116.319465786353,87.7872842812564,8.717755
310.766103253534,86.8896514366733,8.719124
205.388718682739,86.598581618067,8.721843
319.359629438302,84.9905212299129,8.723961
352.995426837697,89.1998629738224,8.73033
54.7678761043912,84.92114881097,8.732368
36.2997395354137,84.8054259865432,8.733294
93.2790882025812,85.6081988397941,8.736126
31.1811324959993,84.8956787924341,8.737147
22.8450376678688,88.6571819954604,8.740666
44.6933588741029,86.24886983446,8.747165
27.6620383958091,85.0584384300577,8.757853
26.2228102887057,84.9465635353515,8.765047
295.452287667755,85.8633095664439,8.771073
24.5901640854181,88.9801904599795,8.771575
46.5623861110162,85.8635901842125,8.772016
293.56284000651,86.0575465875514,8.777119
28.4980802433564,84.3300316253383,8.777299
61.7770443978058,88.9225478692481,8.784366
177.780025507052,85.6714311754466,8.78444
215.939777402565,87.974746176569,8.787448
141.922014413033,89.1639669550288,8.789778
275.15267633219,86.2825800036272,8.81139
94.6990671047025,85.1160504863931,8.821947
117.163425226897,86.3336916970946,8.829271
111.044382527252,87.1278765254591,8.82957
141.515806925815,85.892705808329,8.831341
47.9803548002981,84.6058542940488,8.834237
324.659273549101,84.858454136208,8.834838
358.781311102073,85.9058619818445,8.842946
11.8543330450544,85.0500073424015,8.846116
135.617782202846,86.6558726658581,8.853298
328.076056830217,85.8651483977927,8.866651
68.3049182663928,86.9200078260847,8.873993
