ra,dec,mag
56.87125084725649,24.10493447522506,2.896132
57.29068893293528,24.053211829998986,3.6157947
56.2190045645284,24.11313304360812,3.6982086
56.45679586432521,24.36754142471917,3.863349
56.58167144917715,23.94814381017594,4.172742
56.302162856141784,24.46706395730414,4.2610216
57.296830774548276,24.136498420483132,5.203287
57.0868319876062,23.421039463726608,5.428299
56.20099235353907,24.28926774500748,5.4413247
59.217327896694236,22.477466785802235,5.5315943
57.027106619155624,24.988289708321943,5.604983
56.29068291043696,24.839057004118633,5.6404076
56.47708455753871,24.55430537374798,5.752026
59.3598987973704,24.461902028414737,5.7599316
57.57913200746642,25.578903028463774,5.7970786
59.265895067909945,23.175498134449874,6.0281577
57.47955819207775,22.24395883052281,6.040353
56.11764246688576,20.928671084421072,6.0816813
55.19300531990938,25.329419314445513,6.092988
57.431468357888065,23.711649593760512,6.1591687
56.837760020213594,24.116067483641807,6.29883
58.39376800335248,25.682709450744102,6.3173146
57.23749155579294,23.856874540730196,6.385194
57.90266411648728,22.03121669781422,6.390072
56.51218035590119,24.527697326214305,6.4252644
57.340716620829006,24.380752387790455,6.604883
58.046882432089944,25.162347138819527,6.641129
53.6110043385098,24.46428012910465,6.6677933
53.61097089892198,24.46449089279418,6.6862464
54.66976712540925,22.659409622396907,6.7019362
54.24170598677291,23.210985322888845,6.702032
57.85534217177409,25.16287201168491,6.7643538
56.747585269534376,24.51991333978582,6.8028107
57.491988012399965,23.84848726390722,6.806421
56.87281395748792,24.288130246334337,6.815936
56.82126025036113,23.726630871297488,6.8663635
60.236816648194385,23.20134530041422,6.8858705
56.45349543711508,23.14694333291917,6.895188
57.71855293609407,23.961269020104176,6.930358
57.12549941431617,24.34532462480419,6.939808
53.00283158153878,23.64706116200794,6.95302
56.837462886443596,23.803141100251725,6.997606
57.409171523077866,22.53328562479943,7.0043597
55.94165231416067,26.381073760470326,7.013977
54.29716747640482,25.98989430700792,7.04856
55.77696601479029,25.681295874708564,7.0630045
59.76430129256401,23.628107980844547,7.0712557
55.08968298939613,21.405754573566572,7.101067
54.77812109736227,24.702658564560203,7.10341
55.325373283529316,25.008245797308668,7.1113486
58.50847539302745,21.94504189537618,7.1277337
53.46402109389746,23.831034689388776,7.1390133
53.34893014898836,23.36809995951476,7.1449013
56.73735798603733,25.635595296847917,7.159753
57.51517110765979,22.591359710394954,7.165409
58.45961564169839,26.89582123671735,7.181849
59.58717248564752,24.080920608382456,7.197622
59.299282415712746,25.28287006647341,7.202653
56.407554166556594,24.33546030372484,7.248939
57.158601236345966,26.293412814956405,7.2528744
54.80510435415978,21.84305262972688,7.2714095
53.3605180073388,23.384203864372328,7.2731695
56.85182143112869,23.9144778917631,7.286501
55.56642286052093,22.786105961631623,7.293389
56.55735779586654,24.196558630386665,7.3347673
56.61376023966258,24.254800329035454,7.352819
58.47785898245981,23.129810896001995,7.3657937
56.02172558837841,27.41780935753315,7.380589
54.43118456203327,24.258908552796214,7.386173
58.02431902278248,22.67012330366188,7.4001384
56.90428209463799,23.608852238285635,7.406279
57.61701415440467,24.495385422255026,7.4093227
55.42302124371641,25.369846182481556,7.457314
55.930098933897625,25.08049424832434,7.512999
57.32010689706659,24.39593347467187,7.525846
57.48590927641627,24.348794070150266,7.546007
56.49746568532949,26.07651532370871,7.58318
58.470479222426164,21.57171651187275,7.6072354
58.97991559272437,21.76805301652827,7.6183906
55.62434081489154,26.571967536177226,7.6192837
56.850358636288625,24.588227280103567,7.632523
57.07875326865421,26.58914990835917,7.6395726
57.98934328927283,25.998665776464502,7.648581
58.003808020520815,25.341787151702867,7.6650224
59.1205547610188,22.67336932265094,7.680655
58.33823419885547,23.12363617735079,7.69768
57.29700152037766,22.609258005731753,7.7059603
57.447787900846116,21.159981558527075,7.7213583
56.383382651277834,21.246480352393984,7.728319
56.00809466375932,25.882983279176635,7.744516
56.861890197773505,23.678126852419382,7.7467694
59.808397401077976,25.21591050182472,7.747333
55.67150136326923,21.28167015664145,7.755738
54.88711817423083,22.83994295280934,7.7626247
60.238637415387956,23.200097989861096,7.7818513
58.778883146275774,27.064524232612403,7.78927
55.90403012116533,20.716180130397543,7.7912154
55.09231636698043,22.336046895940388,7.7938986
56.41633572294943,22.694265149860293,7.800061
58.38337543758329,25.729817321356315,7.8185506
56.46524526083272,24.03867637774549,7.8336287
53.626328174328776,22.759355594916308,7.8457956
58.24784623678917,26.677982729156554,7.8574605
55.92315056799927,23.648957620762896,7.8598695
59.15599320441904,23.595533638324113,7.9219933
58.68576745616111,23.201551675041358,7.9239945
58.669379523521016,25.6857186309338,7.9299726
57.04407843829857,21.329017313969448,7.9385033
57.35836849831732,24.24749646235856,7.9557376
58.043238757534,26.231346843178834,7.9995866
56.35902804607377,24.034944470308897,8.016329
56.496515250865976,25.39839015777669,8.016677
57.250769798788376,21.342196098138537,8.027693
55.042418950973186,26.95994943216807,8.032015
56.642591450519646,23.623821625731356,8.040022
56.00122131401905,24.556792926212825,8.041619
58.052748527325576,26.97576459714234,8.041916
59.65202785577478,23.85858457986496,8.0555525
57.42060476339698,23.341369648361887,8.094326
57.2279862927018,22.799179926606183,8.095024
57.3008750959372,23.886587601561303,8.101668
56.08424330946051,24.87491465728982,8.10604
54.649595096912286,24.601516320305546,8.113056
56.10725957131531,24.394496851857834,8.121808
56.84551303331775,22.92190886967802,8.124376
57.50356091934828,26.044284046836157,8.126524
57.19100190679414,23.52549269555145,8.135022
58.83139151510583,23.360366895793177,8.139912
59.978543992854,24.695480308185672,8.149484
56.50475279943732,25.97223152904674,8.183435
55.057995599117206,26.887422746841963,8.189952
57.07256115074635,22.378567828343574,8.193995
55.930266895087854,24.374390241889614,8.198288
57.05657664728561,24.3182124280673,8.214289
55.889175049804116,22.437062285569894,8.219108
59.90713133828913,24.858126505613612,8.228618
56.56677710161743,24.189728475046618,8.228746
56.83070036887997,24.138920132623063,8.243902
56.94524283764543,25.38549346832899,8.26957
58.37526842280644,25.935500642790274,8.296244
59.11726653104686,23.150073028495136,8.301424
55.91457482578995,26.125943313845177,8.310159
57.16395878701379,21.924749999281417,8.310893
57.109721080500194,25.322635887335128,8.313805
56.3430689295303,23.204618165273388,8.321405
56.767658409458,23.995012914402537,8.332108
57.18299036630866,23.2596150203104,8.33693
58.67958945515889,23.3199289293145,8.344205
57.909556673470895,25.76460362549446,8.351627
53.51653291757478,25.346419526400567,8.35265
53.47197803135958,24.243065187009133,8.360262
55.97173571696819,25.725026807444493,8.363123
59.24008763215104,26.507559323733137,8.365566
58.781586056970525,25.105676404346088,8.381528
55.23892221174143,25.60822562758495,8.384904
57.29459114522734,23.26716245860921,8.387087
57.17454382058536,25.80071678413971,8.414393
56.92530593390367,23.54373489994494,8.425234
59.58650955510292,23.10685922270161,8.437199
57.414777811938926,23.055098694191102,8.45444
54.12374031743432,23.912573667029683,8.461918
56.76490881113397,24.819761527422934,8.478755
54.12030678092923,23.796827861959233,8.492252
57.9375534787717,25.85178230249643,8.500653
57.834665104885886,26.353715414920504,8.508534
58.28091303397006,25.535302497432916,8.526858
53.99997072945674,23.914076757415945,8.544293
56.27733777372245,24.263309219222556,8.547794
56.31261774424387,26.89125150391469,8.549268
56.55297221507895,23.128317797691857,8.549534
56.39368645440966,24.463106878376045,8.54996
60.12629036960535,22.8241820538265,8.564618
59.789198578804104,22.987896796282282,8.566072
56.38630430300657,25.61092540526665,8.585483
57.89630246174175,23.227086912903932,8.599123
55.91238984337009,25.770868266289852,8.602057
54.125977901024505,21.780232167755862,8.606059
55.22735647547929,25.89006850747385,8.611855
56.81909229562351,24.128155937015563,8.624058
59.22464183586491,22.717034535837445,8.627255
56.81808593490627,25.293273324607167,8.631587
56.18698962050892,20.74779526765138,8.633078
55.89071385826418,26.554959510185196,8.637154
53.20944929038271,23.692011674946134,8.641026
59.44778663993368,22.924435192017928,8.645234
56.645215600086246,25.84365846299981,8.645617
57.69941482775374,27.075922460800808,8.646953
59.13045054995928,26.742520957208015,8.651668
57.83463134726439,26.35360347327101,8.670237
53.3486477141141,23.488741701038773,8.6708
57.96325918903292,25.098560601305273,8.681589
53.729177181790234,23.09965413464619,8.685466
58.885083820071415,22.98769115444804,8.697258
54.328219742300675,24.60712455328213,8.704319
60.526937271545236,24.486377340395624,8.713045
55.06977731295918,26.848556386400652,8.717118
55.30367003179341,24.892929780893095,8.746283
54.96326524435254,25.194661602170083,8.754338
60.1123851637771,25.793615056265942,8.76115
58.158899669427605,26.740756456377152,8.762772
55.808398787217975,23.72344862418178,8.763253
56.839843016003314,21.878030079939705,8.764512
57.86348961016656,24.518448754707425,8.769578
54.23971178436071,22.646243205471002,8.775359
53.64538060575658,23.83926260173149,8.785276
53.74453624196074,23.529954931526188,8.786226
60.26993631459168,23.47645705122303,8.803126
56.860582198355175,24.65842092068329,8.810262
59.236085622912356,21.913080926123765,8.810275
56.98402732403853,23.191933373458767,8.851566
58.0765640687381,21.471709254282032,8.8691635
56.585833168451074,26.214633112231297,8.871369
53.54115482224845,24.59205476587224,8.88366
55.872124314048335,22.734611125652357,8.88526
56.21358052689102,23.26872443224326,8.886077
56.27211037045957,23.70246592516979,8.888269
53.584788736551694,22.5269237601141,8.889402
58.94969737251313,23.829176994280886,8.892311
53.19315106306487,22.950156768482174,8.894307
57.4477713558316,27.340805760264555,8.898465
56.33701983849263,24.921874441485695,8.900821
57.797533639819605,24.593226384261634,8.908036
58.25678605866644,25.390209866100324,8.923445
56.23198875100298,27.548222951363254,8.945632
54.47592032317484,25.262534240302706,8.958549
59.0060061997536,23.12620760046215,8.96228
58.3658713119139,24.594650340482662,8.962333
58.02845557141725,23.58597741396733,8.962429
53.978836780350605,22.61049911420872,8.9645405
56.098224870637075,24.132439341642254,8.972041
59.828034674886496,25.065874356398062,8.973021
60.03359852091028,23.398496189719612,8.9743805
59.01626265021912,22.2267469610008,8.97878
55.77718056953655,25.684948041315575,8.982405
56.20145247653381,23.58992131890504,8.984706
54.87178480390916,26.12682013758923,8.99045
58.59672897413826,21.08644665633037,8.995114
57.4413050716318,24.245813341207327,9.011148
57.14507762984961,24.180982604923596,9.011541
56.47416595225249,27.028201191703214,9.011994
57.77650195986893,25.594492433140854,9.013485
53.57519171432403,22.986497976314332,9.018594
55.087924704713814,22.469845427434738,9.019625
54.86240521018777,21.330624313707144,9.024858
57.38645295572227,23.380204240051093,9.034874
54.780918525540905,25.15670882562921,9.034973
56.41559235010561,26.70049724733811,9.038891
56.28116862947342,22.29333502093712,9.040839
56.97519845793378,25.130398241691754,9.046707
55.519783485203185,22.858358168943482,9.057103
54.179120907511376,25.621722419133995,9.063136
56.681028438680976,21.38402005807125,9.064357
55.345801507755894,23.48673483571187,9.069493
55.37739276523982,23.801276779821922,9.074472
54.35029676494181,22.35078206228412,9.0814
57.61043209943332,20.945495209162328,9.084969
53.82720108875651,22.610658309376916,9.0889015
58.12156319343333,25.005422692445237,9.091948
58.953709803563605,26.61270028872182,9.102478
56.52808302102135,27.34614251899861,9.112832
54.03286857886297,24.30400360307813,9.113131
57.07039222938601,25.21491968688357,9.118056
59.97423457364718,23.21679774201565,9.129907
57.47790921014217,24.218294539630037,9.1450205
53.5183436720396,24.30865873899087,9.149856
56.60780598751627,25.017971517718852,9.155001
54.483799973106414,21.70915008447914,9.155031
59.27249384242055,22.04424221015309,9.161289
53.84647398066658,25.266981560180227,9.170629
54.08208839820681,25.39893362843843,9.178295
58.18009277366759,25.64256694576925,9.179756
56.582968169581655,25.475908194820096,9.184221
57.42671086611243,26.626968809376713,9.188281
53.9492986936876,25.822696130091074,9.191672
57.565231121142965,24.666751240856367,9.19937
56.663989544588695,24.10299456629025,9.199545
54.66958902703214,25.451370495107433,9.2010975
