ra,dec,mag
79.4015470483825,-6.84445016181112,3.5883799
81.1192370513369,-2.39715249751896,3.6153696
84.6865224285472,-2.60007866107506,3.790166
80.9867181181942,-7.80825688535219,3.8751557
82.4332617265222,-1.0923515777061,4.0526423
83.8465009933479,-4.8383587136095,4.48509
82.9827466791715,-7.30155945704278,4.5462146
83.7611812509713,-6.00202262682636,4.7164865
84.7211109349527,-7.21304889130754,4.739983
85.2113080917167,-1.12879121487771,4.8950934
81.1197275774785,-2.39704123707424,4.940234
83.818619666296,-5.38969608472639,4.9609604
83.8454266957208,-5.41605398038709,5.0018144
83.9145078897738,-4.85602876703109,5.1746683
83.1723044054328,-1.59183929540564,5.30375
83.5168278484888,-1.47038261603845,5.30662
87.841598657658,-7.51800597789047,5.3076434
83.3810222174629,-1.15607732745826,5.3096147
82.3485552141207,-3.44643306236752,5.4690695
83.7542001804773,-6.00927299262383,5.678608
84.1487292175595,-6.06474999548235,5.7230253
85.7888513876929,-1.61338737795924,5.7333937
87.1458581131804,-4.09566404774202,5.805881
80.5778991076607,-8.66613852123114,5.820094
84.8797749176884,-3.56469443462819,5.912883
84.6582293433887,-6.57395639305427,5.917894
85.7246691656454,-6.79588907139989,5.9707565
84.3639998341083,-5.93839815466478,5.9929466
86.5119902614519,-4.26879038790503,6.0314183
83.5102439588243,-7.02393200510203,6.1500983
80.827116030265,-8.4156068113207,6.1531034
84.4724327670516,-4.81402828332833,6.15851
85.1554150279392,-2.8252272515971,6.177242
82.8370596509863,-6.70838012610897,6.1882863
83.5162239473111,-1.03573799536552,6.206716
83.4071147903055,-3.46319807659775,6.21796
81.50986778668,-5.51850474265322,6.2246222
82.9319709452154,-3.21648958497183,6.2524133
82.5864750143887,-7.4348191743635,6.2967067
83.8600083242018,-5.41688643835433,6.30193
83.7000391622141,-7.20042028458427,6.3832126
83.8996068766514,-3.25284498365032,6.3937335
81.4020814382447,-1.49129040297662,6.396706
87.1708648821227,-1.78556666879695,6.414361
