ra,dec,mag
304.446653879186,38.0329001014315,4.5663805
304.230370176277,40.3650663973028,4.6323004
303.633846104537,36.8066142706844,4.889878
302.356761300278,36.8396790699569,4.911437
305.688734505703,41.025794707024,5.2539515
299.307821353892,40.3678265138904,5.4267197
304.739722336609,39.0041501937817,5.529575
304.619620607994,36.9998974555872,5.57188
303.428368266546,43.3790265568692,5.587504
310.012732452716,43.458623680243,5.616895
306.892585207375,38.4400441013067,5.6262045
310.485449463936,41.7168798885988,5.648362
304.371080538293,42.7220597023698,5.689376
307.334970783683,36.4547172676802,5.739101
307.746784319282,36.9358225773552,5.8797417
305.934901176966,37.4764480277692,5.892078
304.529101265429,40.732053448896,5.8966255
309.348341638023,38.328472740929,5.945679
301.292200533551,38.4789731190996,6.013729
305.731719034108,42.9837370378218,6.048274
305.512751091995,41.132115823668,6.0843515
305.400928750054,40.4471614027927,6.088352
307.118886463524,37.7892984362165,6.126216
303.665086772016,36.7520687987107,6.142182
308.650011268626,41.0984801027894,6.1427727
308.452296033902,41.7723612638968,6.230131
301.114993540548,36.8167733608066,6.243829
304.014276819123,38.8978904717161,6.280617
301.604386293953,39.0988166785404,6.281506
300.914494896479,38.3272478682004,6.3072495
306.203345882136,40.1536416364389,6.31952
307.210773871762,39.9817581088926,6.333458
303.34863791961,38.729024614901,6.3378725
301.860561638599,36.5677594640625,6.349881
305.06341239391,39.4031091879808,6.378708
308.825118198245,41.8902493686468,6.392452
304.117322319288,37.0563943975891,6.4253945
309.344435489239,38.0985004600874,6.4441433
305.341180244366,36.9321225991129,6.448724
303.520381463053,36.6048503817449,6.456969
304.354931227161,39.5935434787461,6.4826393
303.86208376876,44.138698799135,6.500408
302.195263451734,36.1477333348248,6.5006366
310.251532016315,39.0823198492627,6.5067754
305.410595436351,37.5330067539328,6.540503
299.48377529352,42.2607285269959,6.551093
302.046151078283,36.6713016702554,6.570937
308.218049947333,43.1915636425428,6.579995
304.951406658529,37.132482870106,6.5819497
305.825666478567,40.7590306235549,6.582681
309.668602505656,38.6342361918384,6.6131997
306.516110098617,40.4017193767329,6.6292357
305.11653944924,43.8545157946678,6.641317
309.886956337407,42.2475620955122,6.687269
307.645688973695,44.3152434762175,6.714795
305.740241182949,39.2110325888538,6.720384
300.064455128782,42.2178326028911,6.726594
307.107522594463,39.3290190195033,6.7445674
300.341076583204,43.2275722548784,6.763144
305.950173294186,37.0261319753712,6.773316
309.888831193308,40.5794235833331,6.7736106
309.888853189925,40.5796700028631,6.774262
309.571548096936,42.0736773284073,6.7744484
306.357473369441,42.6051780764553,6.780369
303.335080583403,35.5998945945319,6.7847795
307.274492772172,35.8311310990186,6.800124
304.136208362084,36.2761312437291,6.8120623
308.214237786148,41.9004943939358,6.8316164
302.004843544301,42.3850212586706,6.836003
